ID,C1,C2,C3,C4,C5,C6,C7,C8,Score,Rank
RUANGAN LT G - 3,150000,10,3,3,4,3,3,3,0.9250000000000002,1
RUANGAN LT 1 - 1,150000,50,3,3,4,3,3,3,0.7650000000000001,2
RUANGAN LT 3A - 2,150000,130,3,3,4,3,3,3,0.7403846153846154,3
RUANGAN LT 3A - 3,150000,130,3,3,4,3,3,3,0.7403846153846154,4
RUANGAN LT 3A - 1,150000,130,3,3,4,3,3,3,0.7403846153846154,5
RUANGAN LT 17 - 2,170000,220,4,3,4,3,3,3,0.7296791443850268,6
RUANGAN LT 17 - 1,170000,220,4,3,4,3,3,3,0.7296791443850268,7
RUANGAN LT 18 - 2,170000,220,4,3,4,3,3,3,0.7296791443850268,8
RUANGAN LT 18 - 1,170000,220,4,3,4,3,3,3,0.7296791443850268,9
RUANGAN LT 19 - 1,170000,223,4,3,4,3,3,3,0.7295568451595886,10
RUANGAN LT 6 - 5,170000,60,3,3,4,3,3,3,0.728921568627451,11
RUANGAN LT 6 - 4,170000,60,3,3,4,3,3,3,0.728921568627451,12
RUANGAN LT 6 - 3,170000,60,3,3,4,3,3,3,0.728921568627451,13
RUANGAN LT 6 - 1,170000,60,3,3,4,3,3,3,0.728921568627451,14
RUANGAN LT 6 - 2,170000,60,3,3,4,3,3,3,0.728921568627451,15
RUANGAN LT 5 - 1,170000,70,3,3,4,3,3,3,0.7241596638655463,16
RUANGAN LT 5 - 2,170000,70,3,3,4,3,3,3,0.7241596638655463,17
RUANGAN LT 5 - 3,170000,70,3,3,4,3,3,3,0.7241596638655463,18
RUANGAN LT 5 - 4,170000,70,3,3,4,3,3,3,0.7241596638655463,19
RUANGAN LT 19 - 2,180000,223,4,3,4,3,3,3,0.7173019431988042,20
RUANGAN LT 8 - 2,170000,100,3,3,4,3,3,3,0.7155882352941177,21
RUANGAN LT 7 - 3,170000,100,3,3,4,3,3,3,0.7155882352941177,22
RUANGAN LT 7 - 2,170000,100,3,3,4,3,3,3,0.7155882352941177,23
RUANGAN LT 7 - 1,170000,100,3,3,4,3,3,3,0.7155882352941177,24
RUANGAN LT 21 - 1,180000,300,4,3,4,3,3,3,0.7150000000000001,25
RUANGAN LT 8 - 1,170000,110,3,3,4,3,3,3,0.7137700534759359,26
RUANGAN LT 8 - 3,170000,110,3,3,4,3,3,3,0.7137700534759359,27
RUANGAN LT 14 - 2,170000,200,3,3,4,3,3,3,0.7055882352941177,28
RUANGAN LT 12 - 2,170000,200,3,3,4,3,3,3,0.7055882352941177,29
RUANGAN LT 12 - 1,170000,200,3,3,4,3,3,3,0.7055882352941177,30
RUANGAN LT 14 - 1,170000,200,3,3,4,3,3,3,0.7055882352941177,31
RUANGAN LT 11 - 1,170000,220,3,3,4,3,3,3,0.7046791443850269,32
RUANGAN LT 11 - 2,170000,220,3,3,4,3,3,3,0.7046791443850269,33
RUANGAN LT 16 - 1,170000,220,3,3,4,3,3,3,0.7046791443850269,34
RUANGAN LT 16 - 2,170000,220,3,3,4,3,3,3,0.7046791443850269,35
RUANGAN LT 9 - 2,170000,240,3,3,4,3,3,3,0.703921568627451,36
RUANGAN LT 10 - 1,170000,240,3,3,4,3,3,3,0.703921568627451,37
RUANGAN LT 10 - 2,170000,240,3,3,4,3,3,3,0.703921568627451,38
RUANGAN LT 9 - 1,170000,240,3,3,4,3,3,3,0.703921568627451,39
RUANGAN LT 15 - 2,170000,240,3,3,4,3,3,3,0.703921568627451,40
RUANGAN LT 15 - 1,170000,240,3,3,4,3,3,3,0.703921568627451,41
RUANGAN LT 20 - 1,175000,220,3,3,4,3,3,3,0.6983766233766234,42
RUANGAN LT 20 - 2,180000,220,3,3,4,3,3,3,0.6924242424242425,43
RUANGAN LT 1 - 3,190000,100,3,3,4,3,3,3,0.6923684210526317,44
RUANGAN LT 1 - 2,190000,100,3,3,4,3,3,3,0.6923684210526317,45
RUANGAN LT 21 - 2,180000,300,3,3,4,3,3,3,0.6900000000000001,46
RUANGAN LT B - 1,200000,75,3,3,4,3,3,3,0.6891666666666667,47
RUANGAN LT 3 - 3,170000,150,2,3,4,3,3,3,0.683921568627451,48
RUANGAN LT 3 - 2,170000,150,2,3,4,3,3,3,0.683921568627451,49
RUANGAN LT 3 - 1,170000,150,2,3,4,3,3,3,0.683921568627451,50
RUANGAN LT 2 - 3,170000,150,2,3,4,3,3,3,0.683921568627451,51
RUANGAN LT 2 - 2,170000,150,2,3,4,3,3,3,0.683921568627451,52
RUANGAN LT 2 - 1,170000,150,2,3,4,3,3,3,0.683921568627451,53
RUANGAN LT 3 - 4,170000,150,2,3,4,3,3,3,0.683921568627451,54
RUANGAN LT B - 2,220000,80,3,3,4,3,3,3,0.6704545454545455,55
IDN-A-00DY10,220000,133,4,4,4,4,3,1,0.6688254727728412,56
RUANGAN LT 23 - 1,250000,325,4,3,4,3,3,3,0.6561538461538462,57
RUANGAN LT 23 - 2,250000,325,4,3,4,3,3,3,0.6561538461538462,58
RUANGAN LT G - 1,220000,200,3,3,4,3,3,3,0.6554545454545455,59
RUANGAN LT G - 2,240000,90,3,3,4,3,3,3,0.6534722222222223,60
IDN-A-00DGNR,250000,128,4,4,4,4,3,1,0.6489583333333333,61
RUANGAN LT 22 - 2,225000,310,3,3,4,3,3,3,0.6481182795698925,62
RUANGAN LT 22 - 1,225000,310,3,3,4,3,3,3,0.6481182795698925,63
IDN-A-00DGNS,220000,128,4,4,3,4,3,1,0.6444128787878789,64
IDN-A-00CPFQ,250000,394,4,4,4,4,3,1,0.638409475465313,65
IDN-A-00CPFT,275000,270,4,4,4,4,3,1,0.6271043771043772,66
IDN-A-00EQA2,275000,540,4,4,4,4,3,1,0.6234006734006734,67
IDN-A-00FVHX,175000,80,3,2,2,3,2,3,0.6226190476190476,68
IDN-A-00GIKK,180000,77,3,2,2,3,2,3,0.6176406926406927,69
IDN-A-006A4P,180000,78,3,2,2,3,2,3,0.6173076923076923,70
IDN-A-00FVHW,180000,80,3,2,2,3,2,3,0.6166666666666667,71
IDN-A-00CXD7,180000,80,3,2,2,3,2,3,0.6166666666666667,72
IDN-A-00FVHW,180000,80,3,2,2,3,2,3,0.6166666666666667,73
IDN-A-00CXCS,180000,80,3,2,2,3,2,3,0.6166666666666667,74
IDN-A-00FVHX,180000,80,3,2,2,3,2,3,0.6166666666666667,75
IDN-A-005IHO,180000,81,3,2,2,3,2,3,0.616358024691358,76
IDN-A-006A51,180000,81,3,2,2,3,2,3,0.616358024691358,77
IDN-A-006A54,180000,81,3,2,2,3,2,3,0.616358024691358,78
IDN-A-00CT2Z,180000,81,3,2,2,3,2,3,0.616358024691358,79
IDN-A-00CT29,180000,83,3,2,2,3,2,3,0.6157630522088353,80
IDN-A-002K36,180000,83,3,2,2,3,2,3,0.6157630522088353,81
IDN-A-006A4X,180000,91,3,2,2,3,2,3,0.6136446886446887,82
IDN-A-006A4R,180000,91,3,2,2,3,2,3,0.6136446886446887,83
IDN-A-00CT31,180000,91,3,2,2,3,2,3,0.6136446886446887,84
IDN-A-002MSB,180000,93,3,2,2,3,2,3,0.6131720430107527,85
IDN-A-00CT2Q,180000,93,3,2,2,3,2,3,0.6131720430107527,86
IDN-A-00CT37,180000,93,3,2,2,3,2,3,0.6131720430107527,87
IDN-A-00GIKI,180000,93,3,2,2,3,2,3,0.6131720430107527,88
IDN-A-00GIKI,180000,93,3,2,2,3,2,3,0.6131720430107527,89
IDN-A-006A4T,180000,94,3,2,2,3,2,3,0.6129432624113476,90
IDN-A-00CXD6,180000,94,3,2,2,3,2,3,0.6129432624113476,91
IDN-A-00CXD8,180000,94,3,2,2,3,2,3,0.6129432624113476,92
IDN-A-00CXD1,180000,94,3,2,2,3,2,3,0.6129432624113476,93
IDN-A-00CXCZ,180000,94,3,2,2,3,2,3,0.6129432624113476,94
IDN-A-005F9M,180000,94,3,2,2,3,2,3,0.6129432624113476,95
IDN-A-006A55,180000,94,3,2,2,3,2,3,0.6129432624113476,96
IDN-A-006A2,180000,94,3,2,2,3,2,3,0.6129432624113476,97
IDN-A-006A53,180000,94,3,2,2,3,2,3,0.6129432624113476,98
IDN-A-00CXCW,180000,94,3,2,2,3,2,3,0.6129432624113476,99
IDN-A-006A4E,180000,97,3,2,2,3,2,3,0.6122852233676976,100
IDN-A-00CT28,180000,99,3,2,2,3,2,3,0.6118686868686869,101
IDN-A-00CT30,180000,104,3,2,2,3,2,3,0.610897435897436,102
IDN-A-002LZG,180000,178,3,2,2,3,2,3,0.6029026217228464,103
IDN-A-00EOKH,180000,179,3,2,2,3,2,3,0.6028398510242086,104
IDN-A-00CT2V,180000,186,3,2,2,3,2,3,0.6024193548387097,105
IDN-A-00CMBQ,180000,187,3,2,2,3,2,3,0.602361853832442,106
IDN-A-00CT2Y,180000,190,3,2,2,3,2,3,0.6021929824561403,107
IDN-A-005F9O,180000,194,3,2,2,3,2,3,0.6019759450171821,108
IDN-A-006A56,180000,194,3,2,2,3,2,3,0.6019759450171821,109
IDN-A-00CXDA,180000,195,3,2,2,3,2,3,0.6019230769230769,110
IDN-A-006A4G,180000,195,3,2,2,3,2,3,0.6019230769230769,111
