ID,C1,C2,C3,C4,C5,C6,C7,C8
RUANGAN LT B - 1,200000,75,3,3,4,3,3,3
RUANGAN LT B - 2,220000,80,3,3,4,3,3,3
RUANGAN LT G - 1,220000,200,3,3,4,3,3,3
RUANGAN LT G - 2,240000,90,3,3,4,3,3,3
RUANGAN LT G - 3,150000,10,3,3,4,3,3,3
RUANGAN LT 1 - 1,150000,50,3,3,4,3,3,3
RUANGAN LT 1 - 2,190000,100,3,3,4,3,3,3
RUANGAN LT 1 - 3,190000,100,3,3,4,3,3,3
RUANGAN LT 2 - 1,170000,150,2,3,4,3,3,3
RUANGAN LT 2 - 2,170000,150,2,3,4,3,3,3
RUANGAN LT 2 - 3,170000,150,2,3,4,3,3,3
RUANGAN LT 3 - 1,170000,150,2,3,4,3,3,3
RUANGAN LT 3 - 2,170000,150,2,3,4,3,3,3
RUANGAN LT 3 - 3,170000,150,2,3,4,3,3,3
RUANGAN LT 3 - 4,170000,150,2,3,4,3,3,3
RUANGAN LT 3A - 1,150000,130,3,3,4,3,3,3
RUANGAN LT 3A - 2,150000,130,3,3,4,3,3,3
RUANGAN LT 3A - 3,150000,130,3,3,4,3,3,3
RUANGAN LT 5 - 1,170000,70,3,3,4,3,3,3
RUANGAN LT 5 - 2,170000,70,3,3,4,3,3,3
RUANGAN LT 5 - 3,170000,70,3,3,4,3,3,3
RUANGAN LT 5 - 4,170000,70,3,3,4,3,3,3
RUANGAN LT 6 - 1,170000,60,3,3,4,3,3,3
RUANGAN LT 6 - 2,170000,60,3,3,4,3,3,3
RUANGAN LT 6 - 3,170000,60,3,3,4,3,3,3
RUANGAN LT 6 - 4,170000,60,3,3,4,3,3,3
RUANGAN LT 6 - 5,170000,60,3,3,4,3,3,3
RUANGAN LT 7 - 1,170000,100,3,3,4,3,3,3
RUANGAN LT 7 - 2,170000,100,3,3,4,3,3,3
RUANGAN LT 7 - 3,170000,100,3,3,4,3,3,3
RUANGAN LT 8 - 1,170000,110,3,3,4,3,3,3
RUANGAN LT 8 - 2,170000,100,3,3,4,3,3,3
RUANGAN LT 8 - 3,170000,110,3,3,4,3,3,3
RUANGAN LT 9 - 1,170000,240,3,3,4,3,3,3
RUANGAN LT 9 - 2,170000,240,3,3,4,3,3,3
RUANGAN LT 10 - 1,170000,240,3,3,4,3,3,3
RUANGAN LT 10 - 2,170000,240,3,3,4,3,3,3
RUANGAN LT 11 - 1,170000,220,3,3,4,3,3,3
RUANGAN LT 11 - 2,170000,220,3,3,4,3,3,3
RUANGAN LT 12 - 1,170000,200,3,3,4,3,3,3
RUANGAN LT 12 - 2,170000,200,3,3,4,3,3,3
RUANGAN LT 14 - 1,170000,200,3,3,4,3,3,3
RUANGAN LT 14 - 2,170000,200,3,3,4,3,3,3
RUANGAN LT 15 - 1,170000,240,3,3,4,3,3,3
RUANGAN LT 15 - 2,170000,240,3,3,4,3,3,3
RUANGAN LT 16 - 1,170000,220,3,3,4,3,3,3
RUANGAN LT 16 - 2,170000,220,3,3,4,3,3,3
RUANGAN LT 17 - 1,170000,220,4,3,4,3,3,3
RUANGAN LT 17 - 2,170000,220,4,3,4,3,3,3
RUANGAN LT 18 - 1,170000,220,4,3,4,3,3,3
RUANGAN LT 18 - 2,170000,220,4,3,4,3,3,3
RUANGAN LT 19 - 1,170000,223,4,3,4,3,3,3
RUANGAN LT 19 - 2,180000,223,4,3,4,3,3,3
RUANGAN LT 20 - 1,175000,220,3,3,4,3,3,3
RUANGAN LT 20 - 2,180000,220,3,3,4,3,3,3
RUANGAN LT 21 - 1,180000,300,4,3,4,3,3,3
RUANGAN LT 21 - 2,180000,300,3,3,4,3,3,3
RUANGAN LT 22 - 1,225000,310,3,3,4,3,3,3
RUANGAN LT 22 - 2,225000,310,3,3,4,3,3,3
RUANGAN LT 23 - 1,250000,325,4,3,4,3,3,3
RUANGAN LT 23 - 2,250000,325,4,3,4,3,3,3
IDN-A-00CT2B,270000,48,3,2,2,3,2,3
IDN-A-00CT2A,270000,72,3,2,2,3,2,3
IDN-A-003WLX,350000,74,3,2,2,3,2,3
IDN-A-00GIKK,180000,77,3,2,2,3,2,3
IDN-A-006A4P,180000,78,3,2,2,3,2,3
IDN-A-00FVHX,180000,80,3,2,2,3,2,3
IDN-A-00FVHX,175000,80,3,2,2,3,2,3
IDN-A-00CXCS,180000,80,3,2,2,3,2,3
IDN-A-00FVHW,180000,80,3,2,2,3,2,3
IDN-A-00FVHW,180000,80,3,2,2,3,2,3
IDN-A-00CXD7,180000,80,3,2,2,3,2,3
IDN-A-005IHO,180000,81,3,2,2,3,2,3
