ID,C1,C2,C3,C4,C5,C6,C7,C8
RUANGAN LT B - 1,3,2,3,3,4,3,3,3
RUANGAN LT B - 2,3,3,3,3,4,3,3,3
RUANGAN LT G - 1,4,3,3,3,4,3,3,3
RUANGAN LT G - 2,4,2,3,3,4,3,3,3
RUANGAN LT G - 3,3,1,3,3,4,3,3,3
RUANGAN LT 1 - 1,3,2,3,3,4,3,3,3
RUANGAN LT 1 - 2,4,3,3,3,4,3,3,3
RUANGAN LT 1 - 3,3,3,3,3,4,3,3,3
RUANGAN LT 2 - 1,3,3,2,3,4,3,3,3
RUANGAN LT 2 - 2,3,2,2,3,4,3,3,3
RUANGAN LT 2 - 3,3,3,2,3,4,3,3,3
RUANGAN LT 3 - 1,3,3,2,3,4,3,3,3
RUANGAN LT 3 - 2,3,3,2,3,4,3,3,3
RUANGAN LT 3 - 3,3,2,2,3,4,3,3,3
RUANGAN LT 3 - 4,3,2,2,3,4,3,3,3
RUANGAN LT 3A - 1,2,2,3,3,4,3,3,3
RUANGAN LT 3A - 2,2,2,3,3,4,3,3,3
RUANGAN LT 3A - 3,2,3,3,3,4,3,3,3
RUANGAN LT 5 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 5 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 5 - 3,3,3,3,3,4,3,3,3
RUANGAN LT 5 - 4,3,3,3,3,4,3,3,3
RUANGAN LT 6 - 1,3,2,3,3,4,3,3,3
RUANGAN LT 6 - 2,2,2,3,3,4,3,3,3
RUANGAN LT 6 - 3,3,3,3,3,4,3,3,3
RUANGAN LT 6 - 4,3,3,3,3,4,3,3,3
RUANGAN LT 6 - 5,3,3,3,3,4,3,3,3
RUANGAN LT 7 - 1,3,2,3,3,4,3,3,3
RUANGAN LT 7 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 7 - 3,3,3,3,3,4,3,3,3
RUANGAN LT 8 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 8 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 8 - 3,3,3,3,3,4,3,3,3
RUANGAN LT 9 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 9 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 10 - 1,3,2,3,3,4,3,3,3
RUANGAN LT 10 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 11 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 11 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 12 - 1,3,2,3,3,4,3,3,3
RUANGAN LT 12 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 14 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 14 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 15 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 15 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 16 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 16 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 17 - 1,3,3,4,3,4,3,3,3
RUANGAN LT 17 - 2,3,4,4,3,4,3,3,3
RUANGAN LT 18 - 1,3,3,4,3,4,3,3,3
RUANGAN LT 18 - 2,3,3,4,3,4,3,3,3
RUANGAN LT 19 - 1,3,3,4,3,4,3,3,3
RUANGAN LT 19 - 2,3,3,4,3,4,3,3,3
RUANGAN LT 20 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 20 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 21 - 1,3,3,4,3,4,3,3,3
RUANGAN LT 21 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 22 - 1,3,3,3,3,4,3,3,3
RUANGAN LT 22 - 2,3,3,3,3,4,3,3,3
RUANGAN LT 23 - 1,3,4,4,3,4,3,3,3
RUANGAN LT 23 - 2,3,4,4,3,4,3,3,3
IDN-A-00CT2B,3,4,3,2,2,3,2,3
IDN-A-00CT2A,3,2,3,2,2,3,2,3
IDN-A-003WLX,3,3,3,2,2,3,2,3
IDN-A-00GIKK,3,4,3,2,2,3,2,3
IDN-A-006A4P,3,3,3,2,2,3,2,3
IDN-A-00FVHX,3,2,3,2,2,3,2,3
IDN-A-00FVHX,3,4,3,2,2,3,2,3
IDN-A-00CXCS,3,1,3,2,2,3,2,3
IDN-A-00FVHW,3,3,3,2,2,3,2,3
IDN-A-00FVHW,3,2,3,2,2,3,2,3
IDN-A-00CXD7,3,3,3,2,2,3,2,3
IDN-A-005IHO,3,3,3,2,2,3,2,3
IDN-A-006A51,3,2,3,2,2,3,2,3
IDN-A-006A54,3,3,3,2,2,3,2,3
IDN-A-00CT2Z,3,2,3,2,2,3,2,3
IDN-A-00CT29,3,2,3,2,2,3,2,3
IDN-A-002K36,3,3,3,2,2,3,2,3
IDN-A-003WLW,3,2,3,2,2,3,2,3
IDN-A-00FVHY,3,4,3,2,2,3,2,3
IDN-A-00FVHY,3,4,3,2,2,3,2,3
IDN-A-006A4X,3,3,3,2,2,3,2,3
IDN-A-006A4R,3,2,3,2,2,3,2,3
IDN-A-00CT31,3,3,3,2,2,3,2,3
IDN-A-00GIKI,3,3,3,2,2,3,2,3
IDN-A-00GIKI,3,3,3,2,2,3,2,3
IDN-A-00CT2S,3,4,3,2,2,3,2,3
IDN-A-005F99,3,4,3,2,2,3,2,3
IDN-A-002MSB,3,2,3,2,2,3,2,3
IDN-A-00CT37,3,2,3,2,2,3,2,3
IDN-A-00CT2Q,3,3,3,2,2,3,2,3
IDN-A-006A4T,3,2,3,2,2,3,2,3
IDN-A-00CXD6,3,3,3,2,2,3,2,3
IDN-A-00CXD8,3,4,3,2,2,3,2,3
IDN-A-00CXD1,3,3,3,2,2,3,2,3
IDN-A-00CXCZ,3,4,3,2,2,3,2,3
IDN-A-005F9M,3,2,3,2,2,3,2,3
IDN-A-006A55,3,4,3,2,2,3,2,3
IDN-A-006A2,3,2,3,2,2,3,2,3
IDN-A-006A53,3,4,3,2,2,3,2,3
IDN-A-00CXCW,3,3,3,2,2,3,2,3
IDN-A-002MS5,3,2,3,2,2,3,2,3
IDN-A-006A4E,3,3,3,2,2,3,2,3
IDN-A-003AQZ,3,2,3,2,2,3,2,3
IDN-A-00CT28,3,3,3,2,2,3,2,3
IDN-A-00GIKN,3,2,3,2,2,3,2,3
IDN-A-00GIKN,3,2,3,2,2,3,2,3
IDN-A-00CT30,3,4,3,2,2,3,2,3
IDN-A-00FVHZ,3,4,3,2,2,3,2,3
IDN-A-00FVHZ,3,2,3,2,2,3,2,3
IDN-A-00CT32,3,4,3,2,2,3,2,3
IDN-A-00FVI0,3,2,3,2,2,3,2,3
IDN-A-00FVI0,3,3,3,2,2,3,2,3
IDN-A-006A4L,3,2,3,2,2,3,2,3
IDN-A-002LZG,3,3,3,2,2,3,2,3
IDN-A-00EOKH,3,4,3,2,2,3,2,3
IDN-A-00CT2V,3,3,3,2,2,3,2,3
IDN-A-00CMBQ,3,4,3,2,2,3,2,3
IDN-A-00CT2Y,3,2,3,2,2,3,2,3
IDN-A-006A56,3,1,3,2,2,3,2,3
IDN-A-005F9O,3,4,3,2,2,3,2,3
IDN-A-002PHH,3,3,3,2,2,3,2,3
IDN-A-00CXD2,3,3,3,2,2,3,2,3
IDN-A-002LZF,3,3,3,2,2,3,2,3
IDN-A-006A4G,3,3,3,2,2,3,2,3
IDN-A-00CXDA,3,4,3,2,2,3,2,3
IDN-A-005F9G,3,3,3,2,2,3,2,3
IDN-A-00573M,3,2,3,2,2,3,2,3
IDN-A-002K37,3,2,3,2,2,3,2,3
IDN-A-002KTV,3,3,3,2,2,3,2,3
IDN-A-00CXD3,3,3,3,2,2,3,2,3
IDN-A-003ARA,3,3,3,2,2,3,2,3
IDN-A-006A4K,3,3,3,2,2,3,2,3
IDN-A-002OO5,3,4,3,2,2,3,2,3
IDN-A-00CXCY,3,2,3,2,2,3,2,3
IDN-A-005F9P,3,3,3,2,2,3,2,3
IDN-A-00CXCV,3,3,3,2,2,3,2,3
